Como você se define?,"Se outro, qual?",Como você se identifica?,"Se outro, qual?.1","Faz parte da população T (pessoa transgênera, travesti)? ",Orientação sexual:,"Se outro, qual?.2",Pessoa com necessidades específicas?,"Se sim, qual?",extract_date
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Gay,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Prefiro não responder,,Não,,2020-11-10
Uma pessoa amarela,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Bisexual,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Lésbica,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Gay,,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Sim,Física,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Bisexual,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Gay,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Bisexual,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Bisexual,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Sim,Bisexual,,Não,,2020-11-10
Uma pessoa amarela,,Homem,,Não,Hétero,,Não,,2020-11-10
Prefiro não responder,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Prefiro não responder,,Prefiro não responder,,Prefiro não responder,Prefiro não responder,,Prefiro não responder,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Bisexual,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa amarela,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Bisexual,,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Lésbica,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa amarela,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Lésbica,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Prefiro não responder,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Prefiro não responder,,Mulher,,Não,Bisexual,,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Assexual,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Lésbica,,Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Lésbica,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Prefiro não responder,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,2020-11-10
Uma pessoa amarela,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Não-binárie,,Não,Lésbica,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,2020-11-10
